N	O	Ar	He	H	C	totall
0.04401048	0.934297432	1.58509E-06	0.021460959	0.000229544	0	1.23547E-12
0.041410885	0.935480888	1.40284E-06	0.022858594	0.00024823	0	1.13607E-12
0.038982107	0.936407362	1.24172E-06	0.024340939	0.00026835	0	1.04504E-12
0.03668068	0.937114592	1.09875E-06	0.025913614	0.000290015	0	9.61629E-13
0.034506752	0.937608177	9.7208E-07	0.027570815	0.000313284	0	8.85333E-13
0.032458294	0.937872537	8.60188E-07	0.029329971	0.000338338	0	8.15323E-13
0.030529639	0.937910071	7.61354E-07	0.031194272	0.000365257	0	7.51111E-13
0.028714079	0.937727392	6.73754E-07	0.033163642	0.000394214	0	6.92149E-13
0.026995029	0.937344067	5.95993E-07	0.035235103	0.000425205	0	6.38254E-13
0.025381409	0.93672628	5.2732E-07	0.037433204	0.00045858	0	5.88636E-13
0.023859829	0.93588759	4.66591E-07	0.03975765	0.000494465	0	5.43042E-13
0.022417801	0.934858582	4.12578E-07	0.042190456	0.000532749	0	5.01388E-13
0.021068709	0.933571417	3.6515E-07	0.044785386	0.000574122	0	4.62871E-13
0.019794259	0.932077239	3.22909E-07	0.047509834	0.000618345	0	4.27573E-13
0.018594667	0.930348976	2.85533E-07	0.050390289	0.000665782	0	3.951E-13
0.017466699	0.928389079	2.52548E-07	0.053427271	0.000716698	0	3.65163E-13
0.016410111	0.926184106	2.23421E-07	0.056634388	0.000771171	0	3.3763E-13
0.015405056	0.923770836	1.97592E-07	0.059994555	0.000829355	0	3.12349E-13
0.014460362	0.921126197	1.74658E-07	0.063521685	0.000891581	0	2.89087E-13
0.013573783	0.918215582	1.54442E-07	0.067252243	0.000958237	0	2.67616E-13
0.012737175	0.915059156	1.36519E-07	0.071174274	0.001029259	0	2.47879E-13
0.011949886	0.911649988	1.2067E-07	0.075294795	0.001105211	0	2.29678E-13
0.01121036	0.907979612	1.06644E-07	0.079623532	0.00118639	0	2.12892E-13
0.010513973	0.904051304	9.42358E-08	0.08416176	0.001272869	0	1.97426E-13
0.009856715	0.899860739	8.32761E-08	0.088917295	0.001365168	0	1.83161E-13
0.00924023	0.895371663	7.3586E-08	0.093924601	0.001463433	0	1.70004E-13
0.008660777	0.890603076	6.49784E-08	0.099168129	0.001567953	0	1.5787E-13
0.0081144	0.885572966	5.7362E-08	0.104633276	0.001679301	0	1.46665E-13
0.007598319	0.880256645	5.06549E-08	0.110347361	0.001797624	0	1.36331E-13
0.007113986	0.874632212	4.47291E-08	0.116330145	0.001923612	0	1.26777E-13
0.006660309	0.868700174	3.94745E-08	0.122582175	0.002057302	0	1.17952E-13
0.006232397	0.862458282	3.48307E-08	0.129110222	0.002199065	0	1.09801E-13
0.005831342	0.855893293	3.07247E-08	0.13592602	0.002349314	0	1.02265E-13
0.005452988	0.84900928	2.7095E-08	0.143029379	0.002508326	0	9.53079E-14
0.005096706	0.841827157	2.38925E-08	0.150399128	0.002676985	0	8.88663E-14
0.004763607	0.834291673	2.10602E-08	0.15808931	0.002855388	0	8.29037E-14
